"id","name"
"63.04.15.2007",Antar Jaya
"63.04.15.2008",Antar Raya
"63.04.15.2009",Sido Makmur (Sidomakmur)
"63.04.15.2010",Karya Maju
"63.04.16.2001",Kolam Kiri
"63.04.16.2002",Roham Raya
"63.04.16.2003",Simpang Jaya
"63.04.16.2004",Tumih
"63.04.16.2005",Pinang Habang
"63.04.16.2006",Waringin Kencana
"63.04.16.2007",Babat Raya
"63.04.16.2008",Kolam Kanan
"63.04.16.2009",Sidomulyo (Sido Mulyo)
"63.04.16.2010",Kolam Makmur
"63.04.16.2011",Surya Kanta
"63.04.16.2012",Sumber Rahayu
"63.04.16.2013",Dwipasari (Dwi Pasari)
"63.04.17.2001",Sampurna
"63.04.17.2002",Jejangkit Barat
"63.04.17.2003",Bahandang
"63.04.17.2004",Jejangkit Timur
"63.04.17.2005",Cahaya Baru
"63.04.17.2006",Jejangkit Pasar
"63.04.17.2007",Jejangkit Muara
"63.05.01.1001",Binuang
"63.05.01.1017",Karang Putih
"63.05.01.1018",Raya Belanti
"63.05.01.2003",Tungkap
"63.05.01.2006",A Yani Pura
"63.05.01.2007",Pulaupinang (Pulau Pinang)
"63.05.01.2008",Pualam Sari
"63.05.01.2009",Gunungbatu (Gunung Batu)
"63.05.01.2012",Pulaupinang Utara (Pulau Pinang Utara)
"63.05.01.2016",Padang Sari
"63.05.01.2019",Mekarsari
"63.05.02.1004",Tambarangan
